name,category,value,complexity,size_mb,path
multi_format_directory_indexer.py,Web Development,0.00,low,0.009,/Users/steven/AutoTagger/v2-engine/multi_format_directory_indexer.py
COMPLETE_SYSTEM_OVERVIEW.md,Data Analysis,0.00,N/A,0.005,/Users/steven/AutoTagger/v2-engine/COMPLETE_SYSTEM_OVERVIEW.md
test_relations.csv,Data Analysis,0.00,N/A,6.036,/Users/steven/AutoTagger/v2-engine/test_relations.csv
SYSTEM_MIGRATION_COMPLETE.md,AI/ML,1.00,N/A,0.003,/Users/steven/AutoTagger/v2-engine/SYSTEM_MIGRATION_COMPLETE.md
SYSTEM_SUMMARY.md,AI/ML,1.00,N/A,0.005,/Users/steven/AutoTagger/v2-engine/SYSTEM_SUMMARY.md
devonthink_ocr_enhancement.sh,Automation Scripts,0.00,N/A,0.003,/Users/steven/AutoTagger/v2-engine/devonthink_ocr_enhancement.sh
AVATARARTS_KNOWLEDGE_BASE.md,Automation Scripts,2.00,N/A,0.01,/Users/steven/AutoTagger/v2-engine/AVATARARTS_KNOWLEDGE_BASE.md
KNOWLEDGE_BASE_TOOLS_README.md,Automation Scripts,1.00,N/A,0.005,/Users/steven/AutoTagger/v2-engine/KNOWLEDGE_BASE_TOOLS_README.md
ENHANCED_CLIPBOARD_CAPTURE.md,AI/ML,1.00,N/A,0.004,/Users/steven/AutoTagger/v2-engine/ENHANCED_CLIPBOARD_CAPTURE.md
AUTO_SORTING_SYSTEM.md,Data Analysis,2.00,N/A,0.005,/Users/steven/AutoTagger/v2-engine/AUTO_SORTING_SYSTEM.md
MULTI_FORMAT_INDEXER.md,Web Development,1.00,N/A,0.007,/Users/steven/AutoTagger/v2-engine/MULTI_FORMAT_INDEXER.md
open_kb_outputs.sh,Data Analysis,1.00,N/A,0.006,/Users/steven/AutoTagger/v2-engine/open_kb_outputs.sh
phase2_intelligent_organization.py,Automation Scripts,2.00,low,0.008,/Users/steven/AutoTagger/v2-engine/phase2_intelligent_organization.py
save_knowledge_to_db.py,Automation Scripts,0.00,low,0.006,/Users/steven/AutoTagger/v2-engine/save_knowledge_to_db.py
phase1_rapid_scan.py,Automation Scripts,1.00,low,0.005,/Users/steven/AutoTagger/v2-engine/phase1_rapid_scan.py
run_tiered_indexing.py,Automation Scripts,0.00,low,0.003,/Users/steven/AutoTagger/v2-engine/run_tiered_indexing.py
automations_export.csv,AI/ML,1.00,N/A,0.062,/Users/steven/AutoTagger/v2-engine/automations_export.csv
autotag.sh,Automation Scripts,0.00,N/A,0.001,/Users/steven/AutoTagger/v2-engine/autotag.sh
INITIALIZE_SYSTEM.sh,Automation Scripts,1.00,N/A,0.001,/Users/steven/AutoTagger/v2-engine/INITIALIZE_SYSTEM.sh
TIERED_INDEXING_RESULTS_SUMMARY.md,Automation Scripts,0.00,N/A,0.003,/Users/steven/AutoTagger/v2-engine/TIERED_INDEXING_RESULTS_SUMMARY.md
ZSHRC_INTEGRATION_EXAMPLE.md,Automation Scripts,1.00,N/A,0.004,/Users/steven/AutoTagger/v2-engine/ZSHRC_INTEGRATION_EXAMPLE.md
scan_output.csv,AI/ML,1.00,N/A,0.043,/Users/steven/AutoTagger/v2-engine/scan_output.csv
UNIVERSAL_INDEXER_COMPLETE_SYSTEM.md,Data Analysis,0.00,N/A,0.005,/Users/steven/AutoTagger/v2-engine/UNIVERSAL_INDEXER_COMPLETE_SYSTEM.md
csv_import_export.py,Data Analysis,1.00,low,0.007,/Users/steven/AutoTagger/v2-engine/csv_import_export.py
sample_scan_data.csv,AI/ML,1.00,N/A,0.001,/Users/steven/AutoTagger/v2-engine/sample_scan_data.csv
multi_format_directory_indexer_v3.py,Data Analysis,0.00,low,0.014,/Users/steven/AutoTagger/v2-engine/multi_format_directory_indexer_v3.py
DEVONTHINK_ALTERNATIVE.md,Data Analysis,0.00,N/A,0.006,/Users/steven/AutoTagger/v2-engine/DEVONTHINK_ALTERNATIVE.md
CSV_INTEGRATION_SYSTEM.md,Data Analysis,1.00,N/A,0.006,/Users/steven/AutoTagger/v2-engine/CSV_INTEGRATION_SYSTEM.md
simulate_scan_function.sh,Automation Scripts,1.00,N/A,0.002,/Users/steven/AutoTagger/v2-engine/simulate_scan_function.sh
AVATARARTS_KNOWLEDGE_BASE_EVOLUTION_SUMMARY.md,Web Development,0.00,N/A,0.008,/Users/steven/AutoTagger/v2-engine/AVATARARTS_KNOWLEDGE_BASE_EVOLUTION_SUMMARY.md
HYBRID_INTELLIGENCE_SYSTEM.md,Automation Scripts,0.00,N/A,0.006,/Users/steven/AutoTagger/v2-engine/HYBRID_INTELLIGENCE_SYSTEM.md
